Equipment_ID,Supplier_ID,Equipment_Name,Category,Manufacturer,Purchase_Year,Expected_Life,Status,Equipment_Age
EQ00001,SUP0047,Drone,Drone,Ashok Leyland Defence,2018,25,Operational,8
EQ00002,SUP0119,Drone,Drone,HAL,2017,12,Operational,9
EQ00003,SUP0065,Radar,Radar,Mahindra Defence,2021,29,Operational,5
EQ00004,SUP0291,Armored Vehicle,Armored Vehicle,Bharat Dynamics,2020,27,Operational,6
EQ00005,SUP0143,Drone,Drone,Bharat Dynamics,2022,18,Operational,4
EQ00006,SUP0264,Tank,Tank,Mahindra Defence,2022,25,Operational,4
EQ00007,SUP0041,Generator,Generator,DRDO,2025,18,Operational,1
EQ00008,SUP0225,Missile Launcher,Missile Launcher,Mahindra Defence,2016,12,Maintenance,10
EQ00009,SUP0034,Truck,Truck,Ashok Leyland Defence,2013,19,Operational,13
EQ00010,SUP0300,Communication System,Communication System,HAL,2008,12,Out of Service,18
EQ00011,SUP0240,Radar,Radar,L&T Defence,2022,23,Operational,4
EQ00012,SUP0109,Generator,Generator,Ashok Leyland Defence,2008,16,Maintenance,18
EQ00013,SUP0170,Armored Vehicle,Armored Vehicle,L&T Defence,2010,22,Out of Service,16
EQ00014,SUP0072,Generator,Generator,L&T Defence,2019,15,Operational,7
EQ00015,SUP0055,Generator,Generator,DRDO,2015,19,Operational,11
EQ00016,SUP0124,Drone,Drone,Mahindra Defence,2024,12,Operational,2
EQ00017,SUP0250,Tank,Tank,Tata Advanced Systems,2023,14,Operational,3
EQ00018,SUP0098,Generator,Generator,L&T Defence,2010,29,Operational,16
EQ00019,SUP0232,Armored Vehicle,Armored Vehicle,Mahindra Defence,2021,14,Out of Service,5
EQ00020,SUP0017,Drone,Drone,Mahindra Defence,2005,22,Out of Service,21
EQ00021,SUP0261,Generator,Generator,DRDO,2008,14,Maintenance,18
EQ00022,SUP0175,Communication System,Communication System,DRDO,2019,29,Operational,7
EQ00023,SUP0214,Tank,Tank,Mahindra Defence,2011,14,Maintenance,15
EQ00024,SUP0240,Communication System,Communication System,Tata Advanced Systems,2019,17,Operational,7
EQ00025,SUP0008,Generator,Generator,Mahindra Defence,2018,18,Operational,8
EQ00026,SUP0192,Tank,Tank,Tata Advanced Systems,2010,27,Operational,16
EQ00027,SUP0098,Tank,Tank,BEL,2025,29,Operational,1
EQ00028,SUP0107,Tank,Tank,Mahindra Defence,2018,17,Operational,8
EQ00029,SUP0080,Communication System,Communication System,HAL,2024,26,Maintenance,2
EQ00030,SUP0135,Communication System,Communication System,Ashok Leyland Defence,2015,23,Operational,11
EQ00031,SUP0085,Tank,Tank,Tata Advanced Systems,2017,22,Operational,9
EQ00032,SUP0226,Armored Vehicle,Armored Vehicle,L&T Defence,2023,25,Operational,3
EQ00033,SUP0287,Generator,Generator,L&T Defence,2015,27,Operational,11
EQ00034,SUP0097,Missile Launcher,Missile Launcher,BEL,2024,23,Operational,2
EQ00035,SUP0131,Generator,Generator,DRDO,2009,18,Operational,17
EQ00036,SUP0205,Generator,Generator,Bharat Dynamics,2021,20,Operational,5
EQ00037,SUP0194,Drone,Drone,Ashok Leyland Defence,2011,14,Operational,15
EQ00038,SUP0068,Generator,Generator,Mahindra Defence,2019,20,Operational,7
EQ00039,SUP0206,Truck,Truck,Ashok Leyland Defence,2015,23,Operational,11
EQ00040,SUP0061,Truck,Truck,Bharat Dynamics,2025,28,Operational,1
EQ00041,SUP0084,Tank,Tank,L&T Defence,2011,16,Maintenance,15
EQ00042,SUP0019,Drone,Drone,L&T Defence,2011,27,Operational,15
EQ00043,SUP0236,Armored Vehicle,Armored Vehicle,DRDO,2025,19,Operational,1
EQ00044,SUP0185,Armored Vehicle,Armored Vehicle,BEL,2018,26,Operational,8
EQ00045,SUP0253,Communication System,Communication System,Bharat Dynamics,2023,19,Maintenance,3
EQ00046,SUP0109,Truck,Truck,Ashok Leyland Defence,2005,21,Out of Service,21
EQ00047,SUP0050,Drone,Drone,Bharat Dynamics,2011,20,Operational,15
EQ00048,SUP0057,Tank,Tank,Ashok Leyland Defence,2024,30,Operational,2
EQ00049,SUP0061,Armored Vehicle,Armored Vehicle,DRDO,2007,14,Operational,19
EQ00050,SUP0224,Truck,Truck,Tata Advanced Systems,2023,26,Operational,3
EQ00051,SUP0014,Tank,Tank,DRDO,2015,24,Operational,11
EQ00052,SUP0292,Armored Vehicle,Armored Vehicle,Bharat Dynamics,2007,15,Maintenance,19
EQ00053,SUP0184,Armored Vehicle,Armored Vehicle,Tata Advanced Systems,2018,11,Operational,8
EQ00054,SUP0151,Generator,Generator,BEL,2021,19,Operational,5
EQ00055,SUP0120,Communication System,Communication System,BEL,2022,21,Maintenance,4
EQ00056,SUP0279,Radar,Radar,Bharat Dynamics,2005,26,Operational,21
EQ00057,SUP0206,Generator,Generator,DRDO,2014,13,Operational,12
EQ00058,SUP0042,Tank,Tank,Bharat Dynamics,2007,24,Operational,19
EQ00059,SUP0235,Truck,Truck,DRDO,2005,24,Operational,21
EQ00060,SUP0030,Armored Vehicle,Armored Vehicle,L&T Defence,2011,20,Operational,15
EQ00061,SUP0121,Radar,Radar,Bharat Dynamics,2008,27,Operational,18
EQ00062,SUP0292,Truck,Truck,Bharat Dynamics,2015,15,Maintenance,11
EQ00063,SUP0041,Communication System,Communication System,DRDO,2018,22,Operational,8
EQ00064,SUP0110,Truck,Truck,HAL,2019,11,Operational,7
EQ00065,SUP0178,Drone,Drone,HAL,2012,10,Maintenance,14
EQ00066,SUP0208,Missile Launcher,Missile Launcher,DRDO,2019,10,Operational,7
EQ00067,SUP0036,Tank,Tank,BEL,2006,21,Out of Service,20
