Fuel_ID,Date,Base_ID,Region,Vehicle_Type,Fuel_Consumed_Liters,Fuel_Cost_INR,Fuel_Cost_Per_Liter
F000001,2026-09-10,B022,Central,Transport Vehicle,198.37,19060.66,96.08640419418259
F000002,2025-09-27,B015,South,Helicopter,560.06,52548.37,93.82632217976646
F000003,2026-05-18,B003,East,Helicopter,612.76,56277.62,91.84284222207717
F000004,2026-03-19,B023,North,Generator,96.21,8955.11,93.07878598898245
F000005,2025-07-19,B020,East,Helicopter,480.55,46955.67,97.71235043179689
F000006,2026-06-30,B013,South,Transport Vehicle,265.42,24159.71,91.02445181222213
F000007,2026-11-23,B013,South,Generator,85.81,7950.85,92.65645029716816
F000008,2026-02-05,B014,Central,Transport Vehicle,314.75,28747.59,91.33467831612391
F000009,2026-09-22,B015,South,Generator,111.95,10848.61,96.90585082626173
F000010,2026-07-29,B017,East,Transport Vehicle,309.21,29656.57,95.91077261408105
F000011,2025-12-28,B013,South,Transport Vehicle,314.87,30341.26,96.3612284434846
F000012,2026-12-20,B001,Central,Truck,230.4,21348.12,92.65677083333333
F000013,2026-04-04,B016,West,Tank,671.48,61385.16,91.41770417585036
F000014,2025-12-01,B010,North,Tank,834.42,75297.89,90.23979530691977
F000015,2025-01-06,B006,West,Helicopter,529.58,52810.54,99.72155292873597
F000016,2026-02-26,B014,Central,Tank,706.99,64299.1,90.94767959942855
F000017,2026-02-19,B022,Central,Transport Vehicle,267.0,24205.29,90.65651685393259
F000018,2025-06-15,B028,West,Jeep,75.13,7170.48,95.44096898708905
F000019,2025-09-11,B021,South,Jeep,71.23,6804.81,95.53292152183069
F000020,2026-03-08,B001,Central,Truck,323.66,30211.34,93.34282889451893
F000021,2025-09-24,B025,West,Tank,650.67,62842.86,96.58176956060677
F000022,2025-03-12,B003,East,Truck,401.28,37816.03,94.23851176236045
F000023,2025-05-04,B030,East,Truck,278.95,27396.73,98.21376590786879
F000024,2025-02-25,B022,Central,Helicopter,580.69,53150.66,91.53017961390759
F000025,2025-08-16,B012,South,Jeep,81.39,7387.85,90.77097923577836
F000026,2025-11-02,B013,South,Jeep,92.53,9032.77,97.61990705717065
F000027,2026-01-29,B030,East,Generator,153.55,14807.36,96.43347443829371
F000028,2026-08-09,B015,South,Jeep,44.75,4445.16,99.3331843575419
F000029,2025-08-16,B015,South,Tank,761.64,75126.2,98.63741400136547
F000030,2025-01-06,B008,East,Transport Vehicle,343.61,32816.24,95.50432176013503
F000031,2026-02-21,B027,West,Tank,732.04,70662.59,96.52831812469265
F000032,2026-10-25,B010,North,Tank,755.59,74245.57,98.26171601000543
