Inventory_ID,Base_ID,Equipment_ID,Quantity,Available,Reorder_Level,Inventory_Status,Inventory_Utilization
INV000001,B020,EQ00938,60,10,6,Medium Stock,0.16666666666666666
INV000002,B017,EQ04534,55,25,25,Low Stock,0.45454545454545453
INV000003,B014,EQ03472,65,18,16,Medium Stock,0.27692307692307694
INV000004,B010,EQ03095,79,32,8,Medium Stock,0.4050632911392405
INV000005,B027,EQ01619,54,23,28,Low Stock,0.42592592592592593
INV000006,B019,EQ00440,74,20,9,Medium Stock,0.2702702702702703
INV000007,B029,EQ04704,59,55,28,Healthy,0.9322033898305084
INV000008,B029,EQ04639,74,58,10,Healthy,0.7837837837837838
INV000009,B011,EQ04891,35,7,7,Low Stock,0.2
INV000010,B019,EQ03171,95,23,9,Medium Stock,0.24210526315789474
INV000011,B025,EQ03683,74,53,28,Healthy,0.7162162162162162
INV000012,B020,EQ03615,66,60,14,Healthy,0.9090909090909091
INV000013,B018,EQ00490,72,24,16,Medium Stock,0.3333333333333333
INV000014,B011,EQ02894,9,9,22,Low Stock,1.0
INV000015,B002,EQ01845,20,13,15,Low Stock,0.65
INV000016,B011,EQ01306,9,1,19,Low Stock,0.1111111111111111
INV000017,B018,EQ04069,22,10,27,Low Stock,0.45454545454545453
INV000018,B027,EQ01822,95,95,19,Healthy,1.0
INV000019,B014,EQ01133,29,24,17,Healthy,0.8275862068965517
INV000020,B020,EQ02924,5,3,23,Low Stock,0.6
INV000021,B028,EQ03739,34,4,13,Low Stock,0.11764705882352941
INV000022,B025,EQ04473,12,4,10,Low Stock,0.3333333333333333
INV000023,B017,EQ01551,12,2,13,Low Stock,0.16666666666666666
INV000024,B017,EQ00705,94,45,30,Medium Stock,0.4787234042553192
INV000025,B001,EQ03732,66,11,27,Low Stock,0.16666666666666666
INV000026,B028,EQ03093,33,30,23,Healthy,0.9090909090909091
INV000027,B006,EQ03973,66,8,7,Medium Stock,0.12121212121212122
INV000028,B007,EQ00533,41,15,6,Medium Stock,0.36585365853658536
INV000029,B006,EQ03745,79,58,22,Healthy,0.7341772151898734
INV000030,B011,EQ04200,88,26,9,Medium Stock,0.29545454545454547
INV000031,B005,EQ04681,27,24,26,Low Stock,0.8888888888888888
INV000032,B009,EQ03459,51,14,11,Medium Stock,0.27450980392156865
INV000033,B028,EQ03521,87,78,27,Healthy,0.896551724137931
INV000034,B007,EQ01955,15,4,19,Low Stock,0.26666666666666666
INV000035,B014,EQ03876,59,47,12,Healthy,0.7966101694915254
INV000036,B023,EQ02456,87,19,24,Low Stock,0.21839080459770116
INV000037,B028,EQ04705,44,23,8,Healthy,0.5227272727272727
INV000038,B014,EQ03264,69,52,8,Healthy,0.7536231884057971
INV000039,B005,EQ02697,73,68,18,Healthy,0.9315068493150684
INV000040,B023,EQ01087,24,4,17,Low Stock,0.16666666666666666
INV000041,B007,EQ01555,63,40,14,Healthy,0.6349206349206349
INV000042,B003,EQ01231,94,47,9,Medium Stock,0.5
INV000043,B024,EQ01032,48,4,5,Low Stock,0.08333333333333333
INV000044,B011,EQ01993,22,9,23,Low Stock,0.4090909090909091
INV000045,B027,EQ04721,29,5,25,Low Stock,0.1724137931034483
