Maintenance_ID,Equipment_ID,Base_ID,Maintenance_Date,Maintenance_Type,Downtime_Days,Maintenance_Cost_INR,Technician_Team,Failure,Cost_Per_Day
M000001,EQ02153,B018,2025-06-04,Corrective,3,91775.06,Team Alpha,No,30591.686666666665
M000002,EQ03022,B012,2025-03-23,Emergency,4,141636.08,Team Bravo,No,35409.02
M000003,EQ00559,B001,2025-05-18,Preventive,4,199273.66,Team Charlie,No,49818.415
M000004,EQ04824,B019,2026-12-15,Preventive,11,310265.43,Team Alpha,Yes,28205.94818181818
M000005,EQ01091,B003,2026-10-07,Emergency,4,78415.41,Team Delta,No,19603.8525
M000006,EQ02144,B019,2025-03-11,Preventive,2,83758.56,Team Charlie,No,41879.28
M000007,EQ00943,B016,2026-04-02,Inspection,14,329077.27,Team Bravo,Yes,23505.519285714287
M000008,EQ01866,B006,2026-07-20,Preventive,4,114397.3,Team Echo,No,28599.325
M000009,EQ01352,B023,2025-11-25,Inspection,8,334101.59,Team Alpha,Yes,41762.69875
M000010,EQ03393,B024,2026-08-04,Corrective,7,274741.11,Team Alpha,No,39248.729999999996
M000011,EQ01348,B029,2025-09-09,Inspection,4,163987.79,Team Echo,No,40996.9475
M000012,EQ03491,B022,2025-08-16,Corrective,3,113115.47,Team Delta,No,37705.15666666667
M000013,EQ02747,B017,2025-09-06,Inspection,7,211156.66,Team Delta,No,30165.237142857142
M000014,EQ02011,B004,2025-09-14,Inspection,6,108223.27,Team Alpha,No,18037.211666666666
M000015,EQ04100,B013,2025-01-09,Emergency,9,409225.99,Team Alpha,Yes,45469.554444444446
M000016,EQ01205,B002,2026-06-23,Inspection,1,40872.51,Team Alpha,No,40872.51
M000017,EQ00441,B025,2025-12-12,Corrective,7,107894.05,Team Charlie,No,15413.435714285715
M000018,EQ04236,B030,2026-04-29,Inspection,16,628516.39,Team Charlie,Yes,39282.274375
M000019,EQ00680,B027,2026-10-10,Emergency,1,32360.16,Team Echo,No,32360.16
M000020,EQ03204,B022,2025-04-25,Emergency,5,84624.57,Team Delta,No,16924.914
M000021,EQ02081,B027,2026-10-14,Preventive,2,83463.0,Team Echo,No,41731.5
M000022,EQ04779,B002,2026-01-24,Corrective,0,0.0,Team Alpha,No,0.0
M000023,EQ02146,B009,2025-10-19,Emergency,3,98116.19,Team Echo,No,32705.396666666667
M000024,EQ00434,B006,2026-12-08,Emergency,2,43304.42,Team Charlie,No,21652.21
M000025,EQ03962,B007,2025-10-18,Corrective,4,159334.25,Team Alpha,No,39833.5625
M000026,EQ03571,B001,2025-03-23,Preventive,3,51367.88,Team Delta,No,17122.626666666667
M000027,EQ02088,B002,2025-05-21,Emergency,8,181328.93,Team Alpha,Yes,22666.11625
M000028,EQ04619,B015,2026-01-30,Preventive,4,75097.1,Team Delta,No,18774.275
M000029,EQ01774,B008,2025-06-14,Inspection,0,0.0,Team Charlie,No,0.0
M000030,EQ02619,B029,2026-06-29,Inspection,5,140235.06,Team Delta,No,28047.012
M000031,EQ00248,B005,2025-10-20,Emergency,12,417483.49,Team Bravo,Yes,34790.29083333333
M000032,EQ00345,B024,2025-07-28,Emergency,4,120610.28,Team Echo,No,30152.57
M000033,EQ03326,B028,2026-06-23,Emergency,3,100685.19,Team Bravo,No,33561.73
M000034,EQ04282,B026,2026-01-02,Preventive,3,53980.44,Team Alpha,No,17993.48
M000035,EQ04784,B026,2025-12-25,Inspection,17,752480.95,Team Alpha,Yes,44263.58529411764
M000036,EQ00027,B030,2026-08-07,Inspection,4,191629.18,Team Alpha,No,47907.295
M000037,EQ00270,B004,2025-07-24,Inspection,10,337279.94,Team Charlie,Yes,33727.994
M000038,EQ03457,B024,2025-10-01,Inspection,1,16051.65,Team Delta,No,16051.65
M000039,EQ01993,B006,2025-07-14,Emergency,5,225550.77,Team Alpha,No,45110.153999999995
M000040,EQ03162,B003,2025-01-25,Corrective,7,275133.64,Team Bravo,No,39304.805714285714
M000041,EQ04179,B023,2025-05-25,Inspection,0,0.0,Team Echo,No,0.0
M000042,EQ02459,B014,2026-08-15,Preventive,8,155796.49,Team Alpha,Yes,19474.56125
M000043,EQ00253,B021,2026-07-07,Preventive,1,40887.11,Team Bravo,No,40887.11
M000044,EQ04273,B001,2025-08-17,Preventive,2,64741.78,Team Bravo,No,32370.89
M000045,EQ01819,B029,2025-11-29,Inspection,4,177044.15,Team Charlie,No,44261.0375
M000046,EQ04884,B030,2025-10-08,Corrective,8,245136.05,Team Bravo,Yes,30642.00625
M000047,EQ01318,B012,2026-10-30,Corrective,10,186142.42,Team Delta,Yes,18614.242000000002
M000048,EQ02867,B013,2026-06-24,Emergency,14,247817.52,Team Charlie,Yes,17701.251428571428
M000049,EQ01422,B007,2026-06-20,Preventive,8,392061.0,Team Alpha,Yes,49007.625
M000050,EQ02698,B025,2026-05-11,Inspection,20,643794.94,Team Echo,Yes,32189.746999999996
M000051,EQ00097,B011,2025-06-01,Preventive,8,321391.11,Team Delta,Yes,40173.88875
M000052,EQ04041,B015,2025-10-17,Emergency,0,0.0,Team Charlie,No,0.0
M000053,EQ01513,B022,2025-04-19,Corrective,6,282232.81,Team Alpha,No,47038.801666666666
M000054,EQ04168,B021,2026-03-05,Preventive,1,26490.7,Team Bravo,No,26490.7
M000055,EQ00337,B015,2025-07-05,Inspection,4,191419.3,Team Charlie,No,47854.825
M000056,EQ00960,B002,2026-10-31,Preventive,0,0.0,Team Bravo,No,0.0
M000057,EQ02071,B026,2025-11-24,Preventive,8,352414.22,Team Delta,Yes,44051.7775
M000058,EQ02377,B016,2026-04-16,Corrective,0,0.0,Team Alpha,No,0.0
