Mission_ID,Mission_Date,Base_ID,Region,Mission_Type,Priority,Weather,Duration_Hours,Personnel_Deployed,Budget_INR,Mission_Status,Budget_Per_Person
MIS000001,2026-02-25,B029,South,Training Exercise,Medium,Rain,47,219,327896.69,Completed,1497.2451598173516
MIS000002,2026-10-11,B003,East,Medical Support,High,Fog,7,251,3988362.22,Completed,15889.889322709165
MIS000003,2025-09-27,B021,South,Supply Delivery,Medium,Snow,26,238,1458388.69,Completed,6127.683571428571
MIS000004,2025-12-15,B029,South,Supply Delivery,Medium,Rain,20,269,4877935.24,Completed,18133.588252788104
MIS000005,2025-01-10,B030,East,Disaster Relief,Critical,Rain,69,366,3595196.87,Completed,9822.942267759563
MIS000006,2025-03-19,B006,West,Supply Delivery,High,Fog,39,229,1883771.71,Completed,8226.077336244542
MIS000007,2026-04-21,B004,East,Reconnaissance,High,Clear,70,99,1217413.78,Completed,12297.10888888889
MIS000008,2026-10-17,B013,South,Medical Support,Medium,Clear,30,380,1634411.52,Completed,4301.082947368421
MIS000009,2026-06-25,B020,East,Medical Support,High,Snow,65,394,3832605.05,Completed,9727.423984771573
MIS000010,2025-11-20,B018,East,Equipment Transport,High,Fog,61,297,1147902.18,Delayed,3864.990505050505
MIS000011,2026-09-13,B007,Central,Supply Delivery,Medium,Snow,18,313,1797872.24,Delayed,5744.0007667731625
MIS000012,2026-01-28,B024,East,Disaster Relief,Low,Clear,11,250,1874898.36,Completed,7499.593440000001
MIS000013,2025-05-29,B012,South,Reconnaissance,Medium,Snow,71,250,446889.8,Delayed,1787.5592
MIS000014,2026-11-15,B013,South,Surveillance,High,Snow,31,110,4086159.58,Cancelled,37146.90527272727
MIS000015,2026-06-25,B009,South,Disaster Relief,Medium,Rain,10,287,3831359.78,Completed,13349.685644599302
MIS000016,2026-10-04,B025,West,Border Patrol,Medium,Snow,31,294,549213.96,Completed,1868.074693877551
MIS000017,2026-09-21,B017,East,Surveillance,High,Storm,31,334,3578644.6,Delayed,10714.504790419162
MIS000018,2026-03-19,B005,East,Surveillance,Medium,Snow,48,358,4326563.31,Completed,12085.372374301674
MIS000019,2026-07-23,B008,East,Medical Support,Low,Storm,26,214,196239.85,Completed,917.0086448598131
MIS000020,2025-09-12,B010,North,Medical Support,Low,Fog,65,318,1568454.57,Delayed,4932.247075471699
MIS000021,2025-06-09,B017,East,Equipment Transport,Medium,Rain,8,163,1646344.96,Completed,10100.275828220858
MIS000022,2026-04-27,B009,South,Disaster Relief,High,Fog,18,380,238138.31,Completed,626.6797631578947
MIS000023,2026-02-26,B025,West,Surveillance,High,Fog,4,143,4911760.96,Completed,34347.97874125874
MIS000024,2026-07-07,B011,Central,Medical Support,Medium,Snow,4,331,3177374.82,Completed,9599.319697885196
MIS000025,2026-10-03,B005,East,Border Patrol,High,Fog,67,379,3663069.01,Completed,9665.089736147756
MIS000026,2025-07-28,B025,West,Equipment Transport,Medium,Rain,17,28,3980763.34,Completed,142170.1192857143
MIS000027,2026-02-21,B029,South,Reconnaissance,Medium,Snow,19,225,889646.97,Completed,3953.986533333333
MIS000028,2026-09-10,B018,East,Supply Delivery,Medium,Fog,11,22,4157583.74,Completed,188981.0790909091
MIS000029,2025-08-27,B028,West,Border Patrol,Critical,Rain,56,240,1747976.75,Completed,7283.236458333334
MIS000030,2026-03-16,B025,West,Medical Support,High,Rain,4,371,2497367.93,Completed,6731.449946091645
MIS000031,2026-04-28,B015,South,Disaster Relief,Low,Snow,54,341,3839026.55,Completed,11258.142375366568
MIS000032,2026-08-02,B008,East,Equipment Transport,Medium,Clear,54,43,430346.36,Completed,10008.05488372093
MIS000033,2026-03-26,B018,East,Equipment Transport,Low,Rain,67,293,1162503.98,Completed,3967.590375426621
MIS000034,2026-10-06,B005,East,Equipment Transport,Low,Clear,40,365,2771785.25,Completed,7593.932191780822
MIS000035,2026-05-01,B029,South,Training Exercise,Critical,Snow,22,284,2949839.63,Delayed,10386.75926056338
MIS000036,2025-02-22,B006,West,Training Exercise,Low,Fog,71,164,4759119.68,Completed,29019.02243902439
MIS000037,2025-03-20,B011,Central,Border Patrol,High,Snow,33,359,917887.58,Delayed,2556.7899164345404
MIS000038,2026-09-15,B018,East,Reconnaissance,Low,Fog,46,67,2193566.84,Completed,32739.80358208955
MIS000039,2026-06-26,B019,Central,Surveillance,Critical,Storm,68,222,1298548.83,Completed,5849.3190540540545
MIS000040,2025-03-04,B009,South,Equipment Transport,High,Fog,35,382,1823228.22,Completed,4772.848743455497
MIS000041,2026-07-31,B023,North,Equipment Transport,Critical,Snow,25,317,3528255.94,Completed,11130.144921135647
MIS000042,2025-03-20,B014,Central,Supply Delivery,Medium,Storm,12,110,196306.34,Completed,1784.603090909091
MIS000043,2026-08-30,B025,West,Equipment Transport,High,Clear,26,152,1893253.85,Completed,12455.617434210528
MIS000044,2026-12-27,B002,North,Equipment Transport,High,Rain,32,125,1362643.46,Completed,10901.14768
MIS000045,2025-04-26,B013,South,Supply Delivery,Medium,Storm,67,129,721260.42,Completed,5591.166046511628
MIS000046,2025-03-23,B026,South,Equipment Transport,High,Snow,34,209,865005.56,Delayed,4138.782583732058
MIS000047,2025-05-23,B012,South,Border Patrol,Low,Snow,5,277,2060879.0,Completed,7439.996389891697
MIS000048,2026-10-22,B001,Central,Training Exercise,High,Snow,34,150,4182854.06,Completed,27885.693733333334
MIS000049,2025-11-17,B024,East,Equipment Transport,Medium,Storm,21,275,3075684.56,Delayed,11184.307490909092
MIS000050,2026-01-31,B020,East,Surveillance,High,Clear,35,285,3749420.1,Completed,13155.86
MIS000051,2025-11-24,B024,East,Border Patrol,Critical,Fog,18,69,3460176.19,Completed,50147.481014492754
MIS000052,2026-02-27,B001,Central,Surveillance,Medium,Clear,45,133,4883982.84,Completed,36721.675488721805
MIS000053,2025-02-16,B001,Central,Medical Support,Medium,Storm,35,397,4383570.62,Delayed,11041.73959697733
MIS000054,2026-08-08,B025,West,Equipment Transport,High,Snow,7,160,4158134.16,Completed,25988.3385
MIS000055,2026-06-23,B017,East,Supply Delivery,Medium,Fog,39,41,3844349.56,Completed,93764.62341463414
MIS000056,2026-09-27,B016,West,Surveillance,Low,Fog,44,102,3607668.82,Completed,35369.302156862745
MIS000057,2025-09-18,B025,West,Disaster Relief,High,Clear,40,400,1082936.26,Completed,2707.34065
MIS000058,2026-09-01,B022,Central,Border Patrol,Critical,Clear,63,164,1461012.5,Completed,8908.612804878048
MIS000059,2025-03-25,B030,East,Training Exercise,Critical,Fog,22,361,295400.49,Completed,818.2839058171745
MIS000060,2025-02-09,B022,Central,Border Patrol,Low,Storm,17,147,2520470.82,Delayed,17146.059999999998
MIS000061,2026-12-20,B014,Central,Surveillance,Medium,Fog,6,174,2290952.43,Completed,13166.39327586207
MIS000062,2026-03-16,B015,South,Medical Support,Medium,Clear,12,311,4839849.57,Completed,15562.217266881029
MIS000063,2026-08-31,B020,East,Supply Delivery,Critical,Storm,20,248,3252917.19,Completed,13116.601572580645
MIS000064,2026-06-29,B001,Central,Border Patrol,High,Rain,42,64,4601799.29,Completed,71903.11390625
MIS000065,2026-12-16,B007,Central,Training Exercise,Critical,Snow,45,369,1977684.02,Completed,5359.5772899729
MIS000066,2025-05-28,B026,South,Border Patrol,High,Rain,19,39,1162327.3,Delayed,29803.264102564102
MIS000067,2025-05-06,B003,East,Training Exercise,High,Snow,44,154,4764085.39,Cancelled,30935.619415584413
MIS000068,2025-01-11,B006,West,Equipment Transport,High,Snow,10,60,2991262.96,Completed,49854.382666666665
MIS000069,2026-05-18,B011,Central,Medical Support,Low,Rain,33,156,3932452.74,Completed,25208.030384615387
MIS000070,2026-03-15,B006,West,Reconnaissance,Low,Rain,29,234,3390669.66,Completed,14490.041282051283
MIS000071,2026-05-05,B005,East,Disaster Relief,Medium,Fog,47,278,1936028.6,Completed,6964.131654676259
