Supplier_ID,Supplier_Name,City,Equipment_Category,Years_Experience,Annual_Contract_Value_INR,Average_Delivery_Days,Quality_Rating,On_Time_Delivery_Percentage
SUP0001,Skyline Technologies 1,Chennai,Vehicles,38,111837346.0,23,4.5,90.0
SUP0002,Bravo Engineering 2,Chennai,Drones,24,433487221.85,19,3.2,92.4
SUP0003,Prime Defense Systems 3,Bengaluru,Engineering Equipment,34,111913403.98,23,3.0,86.8
SUP0004,Pioneer Equipment 4,Kolkata,Vehicles,23,470330380.11,29,3.5,91.3
SUP0005,Alpha Logistics 5,Lucknow,Engineering Equipment,16,219565750.72,23,3.5,86.9
SUP0006,Skyline Technologies 6,Kolkata,Communication,37,425108340.55,30,4.6,77.2
SUP0007,Frontier Logistics 7,Delhi,Vehicles,18,237277626.01,10,3.8,85.4
SUP0008,Dynamic Systems 8,Delhi,Drones,25,184272922.8,27,4.2,98.1
SUP0009,Frontier Logistics 9,Bengaluru,Radar Systems,26,285841151.28,5,3.7,92.3
SUP0010,Skyline Technologies 10,Hyderabad,Drones,18,25982874.31,18,4.3,92.0
SUP0011,National Engineering 11,Hyderabad,Vehicles,25,257860224.31,9,4.7,79.8
SUP0012,Skyline Technologies 12,Chennai,Medical Equipment,36,248803319.26,23,4.2,93.6
SUP0013,Prime Defense Systems 13,Ahmedabad,Communication,7,439212583.67,18,4.5,94.5
SUP0014,Dynamic Systems 14,Ahmedabad,Vehicles,35,232201041.86,13,3.6,83.7
SUP0015,Delta Industrial Solutions 15,Pune,Electronics,22,64442624.64,24,4.3,99.8
SUP0016,Bravo Engineering 16,Ahmedabad,Electronics,38,367001863.76,17,3.9,92.3
SUP0017,Titan Manufacturing 17,Pune,Drones,28,121622533.52,3,3.1,98.2
SUP0018,Bravo Engineering 18,Ahmedabad,Generators,15,370739168.49,22,4.2,80.2
SUP0019,National Engineering 19,Mumbai,Medical Equipment,12,332584281.93,7,3.3,98.7
SUP0020,Pioneer Equipment 20,Kolkata,Electronics,25,224052103.72,26,3.9,95.4
SUP0021,Frontier Logistics 21,Pune,Engineering Equipment,28,13210771.95,14,3.4,90.0
SUP0022,Pioneer Equipment 22,Chennai,Communication,39,347566974.39,20,3.1,79.3
SUP0023,Pioneer Equipment 23,Pune,Vehicles,20,211749712.41,17,3.6,90.2
SUP0024,Frontier Logistics 24,Jaipur,Generators,37,49384383.11,2,3.8,97.6
SUP0025,Vertex Industries 25,Jaipur,Drones,16,382707756.38,13,4.1,98.5
SUP0026,Pioneer Equipment 26,Lucknow,Electronics,13,234798241.48,4,4.4,87.7
SUP0027,Delta Industrial Solutions 27,Lucknow,Electronics,19,61626292.2,3,4.4,93.6
SUP0028,Bravo Engineering 28,Ahmedabad,Engineering Equipment,38,216084362.23,19,3.0,97.0
SUP0029,Prime Defense Systems 29,Delhi,Electronics,8,469777773.68,17,3.8,96.2
SUP0030,Prime Defense Systems 30,Jaipur,Engineering Equipment,38,26076531.79,23,4.3,81.4
SUP0031,Alpha Logistics 31,Ahmedabad,Electronics,21,68890809.92,15,4.1,91.9
SUP0032,Titan Manufacturing 32,Bengaluru,Vehicles,33,51229090.04,19,3.5,98.1
SUP0033,Summit Industrial 33,Delhi,Radar Systems,17,42678154.77,3,4.0,96.2
SUP0034,Precision Engineering 34,Chennai,Engineering Equipment,6,350369297.89,5,3.2,83.0
SUP0035,Dynamic Systems 35,Delhi,Electronics,23,27086111.52,8,3.5,92.8
SUP0036,Eagle Technologies 36,Delhi,Communication,32,419292902.02,27,4.7,92.0
SUP0037,Dynamic Systems 37,Kolkata,Radar Systems,36,292602540.17,30,3.3,88.2
SUP0038,Titan Manufacturing 38,Hyderabad,Electronics,14,287247019.2,29,3.8,87.7
SUP0039,Skyline Technologies 39,Chennai,Medical Equipment,22,451603776.97,5,4.0,75.0
SUP0040,Precision Engineering 40,Ahmedabad,Medical Equipment,16,271436970.33,24,4.2,76.5
SUP0041,Summit Industrial 41,Delhi,Drones,35,443763323.57,16,4.0,76.7
SUP0042,Dynamic Systems 42,Pune,Radar Systems,11,83247401.03,25,3.3,78.2
SUP0043,Pioneer Equipment 43,Chennai,Drones,10,293719644.2,27,3.1,85.1
SUP0044,Frontier Logistics 44,Delhi,Radar Systems,17,369255590.25,20,3.6,92.7
SUP0045,Vertex Industries 45,Pune,Medical Equipment,8,248156410.28,20,4.3,77.6
SUP0046,Eagle Technologies 46,Lucknow,Engineering Equipment,35,373952803.79,21,3.1,83.5
SUP0047,Pioneer Equipment 47,Chennai,Communication,7,67607806.87,2,3.6,86.6
SUP0048,Eagle Technologies 48,Ahmedabad,Medical Equipment,17,168306736.77,10,4.6,76.2
SUP0049,Alpha Logistics 49,Jaipur,Communication,21,140181247.75,13,4.0,77.0
SUP0050,Skyline Technologies 50,Hyderabad,Drones,34,382144715.98,25,4.6,83.1
SUP0051,Skyline Technologies 51,Ahmedabad,Generators,15,97407325.85,2,3.5,88.1
SUP0052,Delta Industrial Solutions 52,Kolkata,Electronics,7,267283992.61,14,4.0,94.8
SUP0053,Prime Defense Systems 53,Bengaluru,Electronics,23,352324314.17,25,3.6,88.7
SUP0054,Precision Engineering 54,Lucknow,Communication,11,383667156.95,3,3.6,80.1
SUP0055,Titan Manufacturing 55,Ahmedabad,Engineering Equipment,34,64981023.48,25,4.0,89.9
SUP0056,Summit Industrial 56,Hyderabad,Medical Equipment,6,307295386.85,8,4.1,80.8
SUP0057,Eagle Technologies 57,Ahmedabad,Generators,8,239092407.43,9,4.8,89.4
SUP0058,National Engineering 58,Chennai,Generators,19,121709640.81,19,3.9,99.6
SUP0059,Alpha Logistics 59,Ahmedabad,Communication,28,123143182.45,29,4.9,87.4
SUP0060,Precision Engineering 60,Kolkata,Radar Systems,18,182263704.68,2,4.5,81.1
SUP0061,Bravo Engineering 61,Bengaluru,Communication,5,240909938.96,21,3.5,76.6
SUP0062,National Engineering 62,Chennai,Radar Systems,26,204546606.31,21,3.0,82.5
SUP0063,Frontier Logistics 63,Jaipur,Generators,22,115610382.98,14,3.8,93.5
SUP0064,Pioneer Equipment 64,Jaipur,Radar Systems,35,229705999.45,9,3.5,83.6
SUP0065,Alpha Logistics 65,Delhi,Engineering Equipment,30,73598281.1,4,3.5,91.9
SUP0066,Pioneer Equipment 66,Jaipur,Electronics,12,337663560.41,15,3.9,97.7
SUP0067,Titan Manufacturing 67,Bengaluru,Engineering Equipment,20,248572108.26,10,3.9,82.7
SUP0068,Dynamic Systems 68,Ahmedabad,Drones,17,84763551.17,19,3.2,85.7
SUP0069,Prime Defense Systems 69,Hyderabad,Radar Systems,22,448668841.23,11,3.2,85.8
SUP0070,Skyline Technologies 70,Bengaluru,Vehicles,31,403473343.37,21,4.8,96.1
SUP0071,Falcon Manufacturing 71,Mumbai,Drones,35,487431138.31,28,4.2,89.9
SUP0072,Titan Manufacturing 72,Mumbai,Generators,11,293085525.7,19,4.7,83.7
SUP0073,Precision Engineering 73,Jaipur,Communication,32,301705098.6,23,4.0,88.3
SUP0074,National Engineering 74,Ahmedabad,Vehicles,33,156009341.02,6,3.5,76.5
SUP0075,Skyline Technologies 75,Lucknow,Generators,33,158573115.9,23,4.6,96.6
SUP0076,Delta Industrial Solutions 76,Bengaluru,Drones,18,58696088.16,19,4.1,98.7
SUP0077,Titan Manufacturing 77,Ahmedabad,Drones,17,498797451.44,23,4.0,84.7
SUP0078,Alpha Logistics 78,Kolkata,Generators,34,114156136.43,21,3.7,88.2
SUP0079,Pioneer Equipment 79,Delhi,Generators,37,228174996.41,10,3.2,98.9
