Equipment_ID,Supplier_ID,Equipment_Name,Category,Manufacturer,Purchase_Year,Expected_Life,Status
EQ00001,SUP0047,Drone,Drone,Ashok Leyland Defence,2018,25,Operational
EQ00002,SUP0119,Drone,Drone,HAL,2017,12,Operational
EQ00003,SUP0065,Radar,Radar,Mahindra Defence,2021,29,Operational
EQ00004,SUP0291,Armored Vehicle,Armored Vehicle,Bharat Dynamics,2020,27,Operational
EQ00005,SUP0143,Drone,Drone,Bharat Dynamics,2022,18,Operational
EQ00006,SUP0264,Tank,Tank,Mahindra Defence,2022,25,Operational
EQ00007,SUP0041,Generator,Generator,DRDO,2025,18,Operational
EQ00008,SUP0225,Missile Launcher,Missile Launcher,Mahindra Defence,2016,12,Maintenance
EQ00009,SUP0034,Truck,Truck,Ashok Leyland Defence,2013,19,Operational
EQ00010,SUP0300,Communication System,Communication System,HAL,2008,12,Out of Service
EQ00011,SUP0240,Radar,Radar,L&T Defence,2022,23,Operational
EQ00012,SUP0109,Generator,Generator,Ashok Leyland Defence,2008,16,Maintenance
EQ00013,SUP0170,Armored Vehicle,Armored Vehicle,L&T Defence,2010,22,Out of Service
EQ00014,SUP0072,Generator,Generator,L&T Defence,2019,15,Operational
EQ00015,SUP0055,Generator,Generator,DRDO,2015,19,Operational
EQ00016,SUP0124,Drone,Drone,Mahindra Defence,2024,12,Operational
EQ00017,SUP0250,Tank,Tank,Tata Advanced Systems,2023,14,Operational
EQ00018,SUP0098,Generator,Generator,L&T Defence,2010,29,Operational
EQ00019,SUP0232,Armored Vehicle,Armored Vehicle,Mahindra Defence,2021,14,Out of Service
EQ00020,SUP0017,Drone,Drone,Mahindra Defence,2005,22,Out of Service
EQ00021,SUP0261,Generator,Generator,DRDO,2008,14,Maintenance
EQ00022,SUP0175,Communication System,Communication System,DRDO,2019,29,Operational
EQ00023,SUP0214,Tank,Tank,Mahindra Defence,2011,14,Maintenance
EQ00024,SUP0240,Communication System,Communication System,Tata Advanced Systems,2019,17,Operational
EQ00025,SUP0008,Generator,Generator,Mahindra Defence,2018,18,Operational
EQ00026,SUP0192,Tank,Tank,Tata Advanced Systems,2010,27,Operational
EQ00027,SUP0098,Tank,Tank,BEL,2025,29,Operational
EQ00028,SUP0107,Tank,Tank,Mahindra Defence,2018,17,Operational
EQ00029,SUP0080,Communication System,Communication System,HAL,2024,26,Maintenance
EQ00030,SUP0135,Communication System,Communication System,Ashok Leyland Defence,2015,23,Operational
EQ00031,SUP0085,Tank,Tank,Tata Advanced Systems,2017,22,Operational
EQ00032,SUP0226,Armored Vehicle,Armored Vehicle,L&T Defence,2023,25,Operational
EQ00033,SUP0287,Generator,Generator,L&T Defence,2015,27,Operational
EQ00034,SUP0097,Missile Launcher,Missile Launcher,BEL,2024,23,Operational
EQ00035,SUP0131,Generator,Generator,DRDO,2009,18,Operational
EQ00036,SUP0205,Generator,Generator,Bharat Dynamics,2021,20,Operational
EQ00037,SUP0194,Drone,Drone,Ashok Leyland Defence,2011,14,Operational
EQ00038,SUP0068,Generator,Generator,Mahindra Defence,2019,20,Operational
EQ00039,SUP0206,Truck,Truck,Ashok Leyland Defence,2015,23,Operational
EQ00040,SUP0061,Truck,Truck,Bharat Dynamics,2025,28,Operational
EQ00041,SUP0084,Tank,Tank,L&T Defence,2011,16,Maintenance
EQ00042,SUP0019,Drone,Drone,L&T Defence,2011,27,Operational
EQ00043,SUP0236,Armored Vehicle,Armored Vehicle,DRDO,2025,19,Operational
EQ00044,SUP0185,Armored Vehicle,Armored Vehicle,BEL,2018,26,Operational
EQ00045,SUP0253,Communication System,Communication System,Bharat Dynamics,2023,19,Maintenance
EQ00046,SUP0109,Truck,Truck,Ashok Leyland Defence,2005,21,Out of Service
EQ00047,SUP0050,Drone,Drone,Bharat Dynamics,2011,20,Operational
EQ00048,SUP0057,Tank,Tank,Ashok Leyland Defence,2024,30,Operational
EQ00049,SUP0061,Armored Vehicle,Armored Vehicle,DRDO,2007,14,Operational
EQ00050,SUP0224,Truck,Truck,Tata Advanced Systems,2023,26,Operational
EQ00051,SUP0014,Tank,Tank,DRDO,2015,24,Operational
EQ00052,SUP0292,Armored Vehicle,Armored Vehicle,Bharat Dynamics,2007,15,Maintenance
EQ00053,SUP0184,Armored Vehicle,Armored Vehicle,Tata Advanced Systems,2018,11,Operational
EQ00054,SUP0151,Generator,Generator,BEL,2021,19,Operational
EQ00055,SUP0120,Communication System,Communication System,BEL,2022,21,Maintenance
EQ00056,SUP0279,Radar,Radar,Bharat Dynamics,2005,26,Operational
EQ00057,SUP0206,Generator,Generator,DRDO,2014,13,Operational
EQ00058,SUP0042,Tank,Tank,Bharat Dynamics,2007,24,Operational
EQ00059,SUP0235,Truck,Truck,DRDO,2005,24,Operational
EQ00060,SUP0030,Armored Vehicle,Armored Vehicle,L&T Defence,2011,20,Operational
EQ00061,SUP0121,Radar,Radar,Bharat Dynamics,2008,27,Operational
EQ00062,SUP0292,Truck,Truck,Bharat Dynamics,2015,15,Maintenance
EQ00063,SUP0041,Communication System,Communication System,DRDO,2018,22,Operational
EQ00064,SUP0110,Truck,Truck,HAL,2019,11,Operational
EQ00065,SUP0178,Drone,Drone,HAL,2012,10,Maintenance
EQ00066,SUP0208,Missile Launcher,Missile Launcher,DRDO,2019,10,Operational
EQ00067,SUP0036,Tank,Tank,BEL,2006,21,Out of Service
EQ00068,SUP0200,Communication System,Communication System,Tata Advanced Systems,2018,22,Out of Service
EQ00069,SUP0156,Armored Vehicle,Armored Vehicle,DRDO,2025,20,Operational
EQ00070,SUP0052,Truck,Truck,HAL,2023,25,Maintenance
EQ00071,SUP0299,Communication System,Communication System,Bharat Dynamics,2008,22,Operational
EQ00072,SUP0238,Radar,Radar,L&T Defence,2007,10,Operational
EQ00073,SUP0195,Truck,Truck,Bharat Dynamics,2024,10,Operational
EQ00074,SUP0076,Tank,Tank,L&T Defence,2010,25,Maintenance
EQ00075,SUP0203,Radar,Radar,Tata Advanced Systems,2006,24,Maintenance
EQ00076,SUP0015,Radar,Radar,BEL,2021,26,Operational
EQ00077,SUP0218,Truck,Truck,Mahindra Defence,2012,27,Operational
EQ00078,SUP0092,Radar,Radar,Bharat Dynamics,2007,23,Operational
EQ00079,SUP0202,Generator,Generator,Tata Advanced Systems,2011,13,Operational
EQ00080,SUP0218,Radar,Radar,Mahindra Defence,2008,13,Operational
EQ00081,SUP0023,Missile Launcher,Missile Launcher,DRDO,2013,30,Operational
EQ00082,SUP0203,Tank,Tank,Bharat Dynamics,2021,30,Operational
EQ00083,SUP0181,Armored Vehicle,Armored Vehicle,Mahindra Defence,2008,18,Maintenance
EQ00084,SUP0156,Missile Launcher,Missile Launcher,DRDO,2010,21,Operational
EQ00085,SUP0101,Missile Launcher,Missile Launcher,Bharat Dynamics,2020,25,Maintenance
EQ00086,SUP0242,Communication System,Communication System,Mahindra Defence,2020,29,Operational
EQ00087,SUP0057,Armored Vehicle,Armored Vehicle,L&T Defence,2013,17,Operational
EQ00088,SUP0136,Armored Vehicle,Armored Vehicle,Bharat Dynamics,2009,20,Operational
EQ00089,SUP0058,Tank,Tank,Tata Advanced Systems,2023,15,Operational
EQ00090,SUP0205,Generator,Generator,Tata Advanced Systems,2008,24,Maintenance
EQ00091,SUP0034,Missile Launcher,Missile Launcher,Ashok Leyland Defence,2019,20,Operational
EQ00092,SUP0069,Generator,Generator,BEL,2019,16,Operational
EQ00093,SUP0194,Armored Vehicle,Armored Vehicle,Mahindra Defence,2013,20,Operational
EQ00094,SUP0223,Truck,Truck,Ashok Leyland Defence,2023,15,Operational
EQ00095,SUP0133,Generator,Generator,BEL,2006,18,Operational
EQ00096,SUP0062,Tank,Tank,Mahindra Defence,2022,19,Operational
EQ00097,SUP0147,Communication System,Communication System,HAL,2021,13,Operational
EQ00098,SUP0181,Drone,Drone,Mahindra Defence,2013,13,Operational
EQ00099,SUP0094,Tank,Tank,Mahindra Defence,2010,25,Operational
EQ00100,SUP0048,Missile Launcher,Missile Launcher,Tata Advanced Systems,2024,24,Out of Service
EQ00101,SUP0151,Drone,Drone,Bharat Dynamics,2022,21,Operational
EQ00102,SUP0257,Truck,Truck,DRDO,2007,13,Maintenance
EQ00103,SUP0281,Truck,Truck,DRDO,2014,10,Operational
EQ00104,SUP0206,Communication System,Communication System,Tata Advanced Systems,2015,28,Operational
EQ00105,SUP0252,Missile Launcher,Missile Launcher,HAL,2019,21,Operational
EQ00106,SUP0199,Armored Vehicle,Armored Vehicle,BEL,2020,27,Operational
EQ00107,SUP0104,Radar,Radar,DRDO,2023,21,Operational
EQ00108,SUP0139,Communication System,Communication System,Ashok Leyland Defence,2009,12,Operational
EQ00109,SUP0252,Missile Launcher,Missile Launcher,Tata Advanced Systems,2007,15,Maintenance
EQ00110,SUP0129,Generator,Generator,Mahindra Defence,2017,10,Operational
EQ00111,SUP0095,Communication System,Communication System,Ashok Leyland Defence,2017,22,Operational
EQ00112,SUP0069,Truck,Truck,DRDO,2007,24,Operational
EQ00113,SUP0275,Missile Launcher,Missile Launcher,BEL,2024,22,Operational
EQ00114,SUP0205,Armored Vehicle,Armored Vehicle,HAL,2022,23,Operational
EQ00115,SUP0168,Radar,Radar,Bharat Dynamics,2011,19,Operational
EQ00116,SUP0232,Missile Launcher,Missile Launcher,L&T Defence,2007,21,Operational
EQ00117,SUP0284,Truck,Truck,HAL,2012,17,Operational
