Fuel_ID,Date,Base_ID,Region,Vehicle_Type,Fuel_Consumed_Liters,Fuel_Cost_INR
F000001,2026-09-10,B022,Central,Transport Vehicle,198.37,19060.66
F000002,2025-09-27,B015,South,Helicopter,560.06,52548.37
F000003,2026-05-18,B003,East,Helicopter,612.76,56277.62
F000004,2026-03-19,B023,North,Generator,96.21,8955.11
F000005,2025-07-19,B020,East,Helicopter,480.55,46955.67
F000006,2026-06-30,B013,South,Transport Vehicle,265.42,24159.71
F000007,2026-11-23,B013,South,Generator,85.81,7950.85
F000008,2026-02-05,B014,Central,Transport Vehicle,314.75,28747.59
F000009,2026-09-22,B015,South,Generator,111.95,10848.61
F000010,2026-07-29,B017,East,Transport Vehicle,309.21,29656.57
F000011,2025-12-28,B013,South,Transport Vehicle,314.87,30341.26
F000012,2026-12-20,B001,Central,Truck,230.4,21348.12
F000013,2026-04-04,B016,West,Tank,671.48,61385.16
F000014,2025-12-01,B010,North,Tank,834.42,75297.89
F000015,2025-01-06,B006,West,Helicopter,529.58,52810.54
F000016,2026-02-26,B014,Central,Tank,706.99,64299.1
F000017,2026-02-19,B022,Central,Transport Vehicle,267.0,24205.29
F000018,2025-06-15,B028,West,Jeep,75.13,7170.48
F000019,2025-09-11,B021,South,Jeep,71.23,6804.81
F000020,2026-03-08,B001,Central,Truck,323.66,30211.34
F000021,2025-09-24,B025,West,Tank,650.67,62842.86
F000022,2025-03-12,B003,East,Truck,401.28,37816.03
F000023,2025-05-04,B030,East,Truck,278.95,27396.73
F000024,2025-02-25,B022,Central,Helicopter,580.69,53150.66
F000025,2025-08-16,B012,South,Jeep,81.39,7387.85
F000026,2025-11-02,B013,South,Jeep,92.53,9032.77
F000027,2026-01-29,B030,East,Generator,153.55,14807.36
F000028,2026-08-09,B015,South,Jeep,44.75,4445.16
F000029,2025-08-16,B015,South,Tank,761.64,75126.2
F000030,2025-01-06,B008,East,Transport Vehicle,343.61,32816.24
F000031,2026-02-21,B027,West,Tank,732.04,70662.59
F000032,2026-10-25,B010,North,Tank,755.59,74245.57
F000033,2026-10-14,B008,East,Jeep,68.63,6760.5
F000034,2025-09-21,B026,South,Generator,82.72,8232.92
F000035,2025-04-02,B008,East,Truck,275.93,26460.63
F000036,2026-11-26,B030,East,Transport Vehicle,216.02,21324.45
F000037,2026-01-30,B005,East,Generator,143.28,13733.39
F000038,2026-10-26,B015,South,Truck,368.78,35746.63
F000039,2025-03-11,B030,East,Jeep,54.47,5298.58
F000040,2025-03-08,B016,West,Helicopter,670.93,63696.06
F000041,2025-12-24,B010,North,Generator,106.36,10446.9
F000042,2026-10-14,B013,South,Truck,425.71,40117.17
F000043,2026-07-26,B019,Central,Transport Vehicle,312.87,28313.84
F000044,2026-05-22,B019,Central,Tank,505.82,50145.99
F000045,2026-12-19,B011,Central,Transport Vehicle,262.78,25332.4
F000046,2026-07-30,B004,East,Truck,350.01,33354.42
F000047,2026-08-19,B023,North,Truck,344.45,32924.06
F000048,2026-02-03,B021,South,Transport Vehicle,305.86,30174.72
F000049,2026-11-19,B003,East,Tank,741.1,71745.52
F000050,2025-06-27,B018,East,Jeep,113.72,10935.38
F000051,2025-02-06,B023,North,Generator,110.85,10261.71
F000052,2026-10-20,B025,West,Generator,161.82,14758.29
F000053,2025-05-25,B007,Central,Tank,783.59,73648.91
F000054,2026-11-30,B028,West,Generator,168.49,16132.36
F000055,2026-09-03,B017,East,Generator,159.05,15067.03
F000056,2026-12-23,B008,East,Helicopter,538.92,53589.03
F000057,2026-05-15,B013,South,Jeep,55.15,5230.02
F000058,2025-11-01,B024,East,Tank,707.97,63717.85
F000059,2025-12-04,B021,South,Helicopter,557.92,52408.12
F000060,2025-12-07,B001,Central,Jeep,64.26,6049.47
F000061,2025-01-02,B024,East,Helicopter,467.52,43541.31
F000062,2025-02-12,B027,West,Truck,356.32,34356.94
F000063,2026-07-09,B002,North,Helicopter,586.84,55348.26
F000064,2026-12-02,B027,West,Generator,166.27,15624.68
F000065,2025-11-07,B030,East,Helicopter,411.62,39326.94
F000066,2025-06-28,B007,Central,Tank,713.4,64214.61
F000067,2026-11-01,B022,Central,Tank,847.22,79756.71
F000068,2025-11-21,B026,South,Truck,366.19,34988.24
F000069,2025-09-13,B027,West,Helicopter,412.31,40284.38
F000070,2026-08-19,B007,Central,Tank,715.74,71237.37
F000071,2025-07-15,B013,South,Jeep,47.85,4360.05
F000072,2026-06-19,B012,South,Tank,672.85,65570.4
F000073,2026-05-21,B026,South,Tank,803.78,74036.45
F000074,2026-11-02,B028,West,Tank,768.25,73231.17
F000075,2025-12-14,B029,South,Generator,100.65,9156.41
F000076,2025-04-17,B008,East,Helicopter,465.38,45032.62
F000077,2026-11-09,B021,South,Tank,752.51,74796.73
F000078,2025-11-02,B029,South,Generator,134.2,12997.67
F000079,2025-05-06,B002,North,Jeep,46.74,4465.31
F000080,2025-03-26,B015,South,Transport Vehicle,272.87,25332.87
F000081,2025-05-17,B003,East,Generator,132.58,12914.96
F000082,2026-03-19,B001,Central,Helicopter,437.59,42626.09
F000083,2026-08-15,B004,East,Helicopter,509.74,49613.5
F000084,2026-07-08,B008,East,Tank,687.56,67284.28
F000085,2025-06-04,B030,East,Truck,333.97,30334.23
F000086,2026-03-11,B010,North,Jeep,95.56,9490.89
F000087,2026-02-19,B004,East,Transport Vehicle,212.24,19741.04
F000088,2025-07-18,B022,Central,Jeep,84.36,7754.46
F000089,2025-06-23,B029,South,Tank,583.44,54004.02
F000090,2026-08-02,B001,Central,Transport Vehicle,192.7,19197.99
F000091,2026-07-16,B010,North,Generator,117.8,11203.91
F000092,2025-09-02,B001,Central,Jeep,42.57,4043.62
F000093,2026-12-05,B004,East,Helicopter,538.49,49700.01
F000094,2025-09-27,B025,West,Tank,790.94,77659.62
F000095,2025-11-18,B013,South,Jeep,44.91,4328.99
F000096,2026-11-10,B008,East,Transport Vehicle,183.1,16562.75
F000097,2025-12-23,B022,Central,Helicopter,662.09,64596.85
F000098,2026-08-08,B028,West,Generator,128.57,11848.62
F000099,2025-06-27,B015,South,Tank,617.75,56208.73
F000100,2025-01-17,B015,South,Generator,138.69,13461.82
F000101,2026-04-22,B017,East,Truck,380.37,35029.39
F000102,2026-02-15,B009,South,Transport Vehicle,341.44,32418.23
F000103,2026-12-26,B014,Central,Helicopter,534.46,48786.69
F000104,2026-12-26,B023,North,Tank,558.5,54844.02
F000105,2026-11-12,B006,West,Helicopter,441.6,41867.17
F000106,2026-12-20,B024,East,Jeep,75.83,7190.52
F000107,2025-01-01,B028,West,Helicopter,500.42,46219.41
F000108,2026-08-23,B012,South,Truck,217.83,20533.32
F000109,2025-01-11,B023,North,Truck,338.33,32242.54
F000110,2026-01-09,B021,South,Transport Vehicle,345.14,31291.31
F000111,2026-11-25,B009,South,Transport Vehicle,192.23,17745.15
F000112,2026-03-18,B023,North,Jeep,47.69,4488.39
F000113,2025-11-17,B019,Central,Jeep,112.97,10916.97
F000114,2026-11-05,B008,East,Truck,257.34,25471.73
F000115,2026-08-11,B007,Central,Jeep,118.03,11284.99
F000116,2025-05-25,B029,South,Jeep,87.22,8613.33
F000117,2026-10-28,B028,West,Truck,412.79,37437.96
F000118,2026-12-15,B023,North,Truck,405.5,39489.86
F000119,2026-07-08,B027,West,Tank,877.85,83208.09
F000120,2025-05-12,B012,South,Truck,447.12,42920.36
F000121,2025-04-27,B012,South,Tank,565.58,51219.0
F000122,2025-10-11,B015,South,Helicopter,695.1,67054.64
F000123,2025-10-05,B024,East,Transport Vehicle,321.14,31455.49
F000124,2025-10-06,B016,West,Truck,346.28,33606.3
F000125,2026-08-12,B027,West,Generator,114.03,11391.93
F000126,2025-01-02,B024,East,Transport Vehicle,321.98,31978.83
F000127,2025-12-09,B014,Central,Generator,89.47,8296.67
F000128,2025-07-29,B010,North,Jeep,54.11,5128.95
F000129,2026-04-07,B013,South,Truck,427.55,40884.02
F000130,2026-10-01,B029,South,Tank,888.69,81789.44
F000131,2026-04-04,B025,West,Jeep,64.25,6010.58
F000132,2025-01-15,B022,Central,Tank,689.36,66331.98
F000133,2026-07-25,B002,North,Generator,106.83,10424.53
F000134,2026-09-01,B013,South,Generator,144.69,14133.89
F000135,2026-02-18,B026,South,Transport Vehicle,201.89,18170.9
F000136,2026-07-08,B027,West,Helicopter,528.72,50152.52
F000137,2025-09-11,B025,West,Generator,150.51,14627.09
F000138,2026-11-25,B010,North,Transport Vehicle,325.63,30853.64
F000139,2025-04-07,B015,South,Truck,447.69,43365.96
F000140,2025-11-28,B009,South,Truck,439.38,43317.89
F000141,2026-12-13,B012,South,Generator,84.5,8363.7
F000142,2025-06-24,B030,East,Helicopter,640.32,58364.97
F000143,2026-09-25,B005,East,Tank,597.26,56435.68
F000144,2025-01-25,B014,Central,Helicopter,648.2,60567.67
F000145,2025-09-26,B008,East,Helicopter,427.44,38972.82
F000146,2026-03-04,B019,Central,Jeep,86.68,7932.09
F000147,2025-08-08,B028,West,Jeep,67.88,6164.02
F000148,2025-08-31,B014,Central,Truck,359.17,33900.54
F000149,2025-07-16,B028,West,Truck,358.25,32338.66
F000150,2025-06-14,B028,West,Helicopter,533.37,50506.15
F000151,2026-02-19,B026,South,Transport Vehicle,196.84,19398.78
F000152,2025-12-05,B009,South,Helicopter,480.47,47413.76
F000153,2025-01-03,B002,North,Transport Vehicle,210.5,20434.06
F000154,2025-06-19,B029,South,Truck,333.13,30172.74
