Inventory_ID,Base_ID,Equipment_ID,Quantity,Available,Reorder_Level,Inventory_Status
INV000001,B020,EQ00938,60,10,6,Medium Stock
INV000002,B017,EQ04534,55,25,25,Low Stock
INV000003,B014,EQ03472,65,18,16,Medium Stock
INV000004,B010,EQ03095,79,32,8,Medium Stock
INV000005,B027,EQ01619,54,23,28,Low Stock
INV000006,B019,EQ00440,74,20,9,Medium Stock
INV000007,B029,EQ04704,59,55,28,Healthy
INV000008,B029,EQ04639,74,58,10,Healthy
INV000009,B011,EQ04891,35,7,7,Low Stock
INV000010,B019,EQ03171,95,23,9,Medium Stock
INV000011,B025,EQ03683,74,53,28,Healthy
INV000012,B020,EQ03615,66,60,14,Healthy
INV000013,B018,EQ00490,72,24,16,Medium Stock
INV000014,B011,EQ02894,9,9,22,Low Stock
INV000015,B002,EQ01845,20,13,15,Low Stock
INV000016,B011,EQ01306,9,1,19,Low Stock
INV000017,B018,EQ04069,22,10,27,Low Stock
INV000018,B027,EQ01822,95,95,19,Healthy
INV000019,B014,EQ01133,29,24,17,Healthy
INV000020,B020,EQ02924,5,3,23,Low Stock
INV000021,B028,EQ03739,34,4,13,Low Stock
INV000022,B025,EQ04473,12,4,10,Low Stock
INV000023,B017,EQ01551,12,2,13,Low Stock
INV000024,B017,EQ00705,94,45,30,Medium Stock
INV000025,B001,EQ03732,66,11,27,Low Stock
INV000026,B028,EQ03093,33,30,23,Healthy
INV000027,B006,EQ03973,66,8,7,Medium Stock
INV000028,B007,EQ00533,41,15,6,Medium Stock
INV000029,B006,EQ03745,79,58,22,Healthy
INV000030,B011,EQ04200,88,26,9,Medium Stock
INV000031,B005,EQ04681,27,24,26,Low Stock
INV000032,B009,EQ03459,51,14,11,Medium Stock
INV000033,B028,EQ03521,87,78,27,Healthy
INV000034,B007,EQ01955,15,4,19,Low Stock
INV000035,B014,EQ03876,59,47,12,Healthy
INV000036,B023,EQ02456,87,19,24,Low Stock
INV000037,B028,EQ04705,44,23,8,Healthy
INV000038,B014,EQ03264,69,52,8,Healthy
INV000039,B005,EQ02697,73,68,18,Healthy
INV000040,B023,EQ01087,24,4,17,Low Stock
INV000041,B007,EQ01555,63,40,14,Healthy
INV000042,B003,EQ01231,94,47,9,Medium Stock
INV000043,B024,EQ01032,48,4,5,Low Stock
INV000044,B011,EQ01993,22,9,23,Low Stock
INV000045,B027,EQ04721,29,5,25,Low Stock
INV000046,B018,EQ00775,8,5,20,Low Stock
INV000047,B017,EQ04248,49,22,5,Medium Stock
INV000048,B020,EQ01023,41,4,30,Low Stock
INV000049,B025,EQ02505,83,16,12,Medium Stock
INV000050,B020,EQ00449,85,85,17,Healthy
INV000051,B012,EQ00120,73,32,12,Medium Stock
INV000052,B011,EQ04217,53,11,20,Low Stock
INV000053,B002,EQ00625,37,14,26,Low Stock
INV000054,B008,EQ03786,9,8,5,Healthy
INV000055,B003,EQ01922,54,32,11,Healthy
INV000056,B030,EQ03975,69,66,21,Healthy
INV000057,B006,EQ01857,82,45,5,Healthy
INV000058,B022,EQ04504,62,16,6,Medium Stock
INV000059,B025,EQ01105,46,40,27,Healthy
INV000060,B010,EQ03974,46,7,25,Low Stock
INV000061,B026,EQ02136,75,54,13,Healthy
INV000062,B025,EQ04747,32,32,14,Healthy
INV000063,B008,EQ02313,20,14,7,Healthy
INV000064,B027,EQ01455,9,7,21,Low Stock
INV000065,B002,EQ03949,53,20,17,Medium Stock
INV000066,B003,EQ01491,44,24,26,Low Stock
INV000067,B010,EQ01837,75,62,19,Healthy
INV000068,B029,EQ03546,84,19,27,Low Stock
INV000069,B013,EQ03124,6,2,27,Low Stock
INV000070,B006,EQ03377,11,1,13,Low Stock
INV000071,B019,EQ03662,16,10,7,Healthy
INV000072,B017,EQ04579,65,62,10,Healthy
INV000073,B019,EQ00029,96,61,28,Healthy
INV000074,B018,EQ03350,74,30,22,Medium Stock
INV000075,B022,EQ01852,90,79,11,Healthy
INV000076,B003,EQ00783,80,15,22,Low Stock
INV000077,B005,EQ01182,16,8,6,Medium Stock
INV000078,B030,EQ01314,84,68,8,Healthy
INV000079,B015,EQ01549,31,13,16,Low Stock
INV000080,B029,EQ04798,24,8,18,Low Stock
INV000081,B002,EQ03263,54,37,6,Healthy
INV000082,B028,EQ01689,20,9,29,Low Stock
INV000083,B017,EQ03721,31,11,23,Low Stock
INV000084,B016,EQ01203,85,54,13,Healthy
INV000085,B008,EQ03853,44,31,27,Healthy
INV000086,B022,EQ03046,96,4,18,Low Stock
INV000087,B010,EQ02585,25,0,16,Low Stock
INV000088,B013,EQ02029,17,13,29,Low Stock
INV000089,B028,EQ02534,17,8,11,Low Stock
INV000090,B024,EQ01348,9,7,21,Low Stock
INV000091,B012,EQ02194,9,8,6,Healthy
INV000092,B021,EQ00428,67,53,25,Healthy
INV000093,B024,EQ01251,16,4,6,Low Stock
INV000094,B016,EQ00977,81,78,10,Healthy
INV000095,B024,EQ02786,54,17,8,Medium Stock
INV000096,B023,EQ00233,45,22,18,Medium Stock
INV000097,B014,EQ00209,100,18,15,Medium Stock
INV000098,B001,EQ00524,80,73,27,Healthy
INV000099,B030,EQ04856,11,2,24,Low Stock
INV000100,B013,EQ04422,75,7,6,Medium Stock
INV000101,B029,EQ03406,98,27,26,Medium Stock
INV000102,B021,EQ03353,75,30,19,Medium Stock
INV000103,B025,EQ03434,64,61,15,Healthy
INV000104,B010,EQ02626,10,6,5,Healthy
INV000105,B029,EQ04742,56,12,25,Low Stock
INV000106,B011,EQ04220,95,91,20,Healthy
INV000107,B008,EQ04764,59,28,26,Medium Stock
INV000108,B022,EQ01520,13,0,12,Low Stock
INV000109,B012,EQ02637,51,43,29,Healthy
INV000110,B025,EQ03799,76,70,17,Healthy
INV000111,B022,EQ00331,46,9,13,Low Stock
INV000112,B014,EQ01558,12,11,10,Healthy
INV000113,B015,EQ01167,50,41,27,Healthy
INV000114,B025,EQ04430,33,16,28,Low Stock
INV000115,B005,EQ02285,95,69,16,Healthy
INV000116,B003,EQ02944,69,54,29,Healthy
INV000117,B012,EQ00251,9,4,6,Low Stock
INV000118,B014,EQ04421,48,32,21,Healthy
INV000119,B027,EQ01896,17,14,10,Healthy
INV000120,B030,EQ00814,71,32,8,Medium Stock
INV000121,B030,EQ03473,35,12,17,Low Stock
INV000122,B018,EQ02984,31,9,16,Low Stock
INV000123,B008,EQ03974,47,13,14,Low Stock
INV000124,B015,EQ00489,84,77,25,Healthy
INV000125,B019,EQ03604,57,13,16,Low Stock
INV000126,B011,EQ03093,51,3,24,Low Stock
INV000127,B005,EQ03042,47,39,10,Healthy
INV000128,B003,EQ04155,33,23,12,Healthy
INV000129,B004,EQ02257,88,42,20,Medium Stock
INV000130,B010,EQ01081,61,48,8,Healthy
