Mission_ID,Mission_Date,Base_ID,Region,Mission_Type,Priority,Weather,Duration_Hours,Personnel_Deployed,Budget_INR,Mission_Status
MIS000001,2026-02-25,B029,South,Training Exercise,Medium,Rain,47,219,327896.69,Completed
MIS000002,2026-10-11,B003,East,Medical Support,High,Fog,7,251,3988362.22,Completed
MIS000003,2025-09-27,B021,South,Supply Delivery,Medium,Snow,26,238,1458388.69,Completed
MIS000004,2025-12-15,B029,South,Supply Delivery,Medium,Rain,20,269,4877935.24,Completed
MIS000005,2025-01-10,B030,East,Disaster Relief,Critical,Rain,69,366,3595196.87,Completed
MIS000006,2025-03-19,B006,West,Supply Delivery,High,Fog,39,229,1883771.71,Completed
MIS000007,2026-04-21,B004,East,Reconnaissance,High,Clear,70,99,1217413.78,Completed
MIS000008,2026-10-17,B013,South,Medical Support,Medium,Clear,30,380,1634411.52,Completed
MIS000009,2026-06-25,B020,East,Medical Support,High,Snow,65,394,3832605.05,Completed
MIS000010,2025-11-20,B018,East,Equipment Transport,High,Fog,61,297,1147902.18,Delayed
MIS000011,2026-09-13,B007,Central,Supply Delivery,Medium,Snow,18,313,1797872.24,Delayed
MIS000012,2026-01-28,B024,East,Disaster Relief,Low,Clear,11,250,1874898.36,Completed
MIS000013,2025-05-29,B012,South,Reconnaissance,Medium,Snow,71,250,446889.8,Delayed
MIS000014,2026-11-15,B013,South,Surveillance,High,Snow,31,110,4086159.58,Cancelled
MIS000015,2026-06-25,B009,South,Disaster Relief,Medium,Rain,10,287,3831359.78,Completed
MIS000016,2026-10-04,B025,West,Border Patrol,Medium,Snow,31,294,549213.96,Completed
MIS000017,2026-09-21,B017,East,Surveillance,High,Storm,31,334,3578644.6,Delayed
MIS000018,2026-03-19,B005,East,Surveillance,Medium,Snow,48,358,4326563.31,Completed
MIS000019,2026-07-23,B008,East,Medical Support,Low,Storm,26,214,196239.85,Completed
MIS000020,2025-09-12,B010,North,Medical Support,Low,Fog,65,318,1568454.57,Delayed
MIS000021,2025-06-09,B017,East,Equipment Transport,Medium,Rain,8,163,1646344.96,Completed
MIS000022,2026-04-27,B009,South,Disaster Relief,High,Fog,18,380,238138.31,Completed
MIS000023,2026-02-26,B025,West,Surveillance,High,Fog,4,143,4911760.96,Completed
MIS000024,2026-07-07,B011,Central,Medical Support,Medium,Snow,4,331,3177374.82,Completed
MIS000025,2026-10-03,B005,East,Border Patrol,High,Fog,67,379,3663069.01,Completed
MIS000026,2025-07-28,B025,West,Equipment Transport,Medium,Rain,17,28,3980763.34,Completed
MIS000027,2026-02-21,B029,South,Reconnaissance,Medium,Snow,19,225,889646.97,Completed
MIS000028,2026-09-10,B018,East,Supply Delivery,Medium,Fog,11,22,4157583.74,Completed
MIS000029,2025-08-27,B028,West,Border Patrol,Critical,Rain,56,240,1747976.75,Completed
MIS000030,2026-03-16,B025,West,Medical Support,High,Rain,4,371,2497367.93,Completed
MIS000031,2026-04-28,B015,South,Disaster Relief,Low,Snow,54,341,3839026.55,Completed
MIS000032,2026-08-02,B008,East,Equipment Transport,Medium,Clear,54,43,430346.36,Completed
MIS000033,2026-03-26,B018,East,Equipment Transport,Low,Rain,67,293,1162503.98,Completed
MIS000034,2026-10-06,B005,East,Equipment Transport,Low,Clear,40,365,2771785.25,Completed
MIS000035,2026-05-01,B029,South,Training Exercise,Critical,Snow,22,284,2949839.63,Delayed
MIS000036,2025-02-22,B006,West,Training Exercise,Low,Fog,71,164,4759119.68,Completed
MIS000037,2025-03-20,B011,Central,Border Patrol,High,Snow,33,359,917887.58,Delayed
MIS000038,2026-09-15,B018,East,Reconnaissance,Low,Fog,46,67,2193566.84,Completed
MIS000039,2026-06-26,B019,Central,Surveillance,Critical,Storm,68,222,1298548.83,Completed
MIS000040,2025-03-04,B009,South,Equipment Transport,High,Fog,35,382,1823228.22,Completed
MIS000041,2026-07-31,B023,North,Equipment Transport,Critical,Snow,25,317,3528255.94,Completed
MIS000042,2025-03-20,B014,Central,Supply Delivery,Medium,Storm,12,110,196306.34,Completed
MIS000043,2026-08-30,B025,West,Equipment Transport,High,Clear,26,152,1893253.85,Completed
MIS000044,2026-12-27,B002,North,Equipment Transport,High,Rain,32,125,1362643.46,Completed
MIS000045,2025-04-26,B013,South,Supply Delivery,Medium,Storm,67,129,721260.42,Completed
MIS000046,2025-03-23,B026,South,Equipment Transport,High,Snow,34,209,865005.56,Delayed
MIS000047,2025-05-23,B012,South,Border Patrol,Low,Snow,5,277,2060879.0,Completed
MIS000048,2026-10-22,B001,Central,Training Exercise,High,Snow,34,150,4182854.06,Completed
MIS000049,2025-11-17,B024,East,Equipment Transport,Medium,Storm,21,275,3075684.56,Delayed
MIS000050,2026-01-31,B020,East,Surveillance,High,Clear,35,285,3749420.1,Completed
MIS000051,2025-11-24,B024,East,Border Patrol,Critical,Fog,18,69,3460176.19,Completed
MIS000052,2026-02-27,B001,Central,Surveillance,Medium,Clear,45,133,4883982.84,Completed
MIS000053,2025-02-16,B001,Central,Medical Support,Medium,Storm,35,397,4383570.62,Delayed
MIS000054,2026-08-08,B025,West,Equipment Transport,High,Snow,7,160,4158134.16,Completed
MIS000055,2026-06-23,B017,East,Supply Delivery,Medium,Fog,39,41,3844349.56,Completed
MIS000056,2026-09-27,B016,West,Surveillance,Low,Fog,44,102,3607668.82,Completed
MIS000057,2025-09-18,B025,West,Disaster Relief,High,Clear,40,400,1082936.26,Completed
MIS000058,2026-09-01,B022,Central,Border Patrol,Critical,Clear,63,164,1461012.5,Completed
MIS000059,2025-03-25,B030,East,Training Exercise,Critical,Fog,22,361,295400.49,Completed
MIS000060,2025-02-09,B022,Central,Border Patrol,Low,Storm,17,147,2520470.82,Delayed
MIS000061,2026-12-20,B014,Central,Surveillance,Medium,Fog,6,174,2290952.43,Completed
MIS000062,2026-03-16,B015,South,Medical Support,Medium,Clear,12,311,4839849.57,Completed
MIS000063,2026-08-31,B020,East,Supply Delivery,Critical,Storm,20,248,3252917.19,Completed
MIS000064,2026-06-29,B001,Central,Border Patrol,High,Rain,42,64,4601799.29,Completed
MIS000065,2026-12-16,B007,Central,Training Exercise,Critical,Snow,45,369,1977684.02,Completed
MIS000066,2025-05-28,B026,South,Border Patrol,High,Rain,19,39,1162327.3,Delayed
MIS000067,2025-05-06,B003,East,Training Exercise,High,Snow,44,154,4764085.39,Cancelled
MIS000068,2025-01-11,B006,West,Equipment Transport,High,Snow,10,60,2991262.96,Completed
MIS000069,2026-05-18,B011,Central,Medical Support,Low,Rain,33,156,3932452.74,Completed
MIS000070,2026-03-15,B006,West,Reconnaissance,Low,Rain,29,234,3390669.66,Completed
MIS000071,2026-05-05,B005,East,Disaster Relief,Medium,Fog,47,278,1936028.6,Completed
MIS000072,2026-06-18,B022,Central,Equipment Transport,Medium,Snow,17,248,4714783.38,Completed
MIS000073,2026-10-24,B015,South,Equipment Transport,Medium,Clear,8,306,3056051.71,Completed
MIS000074,2025-07-14,B022,Central,Equipment Transport,Critical,Clear,55,152,268863.04,Completed
MIS000075,2026-12-05,B024,East,Medical Support,High,Snow,43,313,1571554.8,Completed
MIS000076,2025-01-17,B013,South,Reconnaissance,High,Fog,38,79,2176448.77,Completed
MIS000077,2025-08-30,B005,East,Medical Support,Medium,Snow,4,314,1012797.41,Completed
MIS000078,2026-11-16,B011,Central,Medical Support,Low,Clear,53,242,2852209.28,Completed
MIS000079,2025-08-18,B030,East,Medical Support,High,Storm,56,52,714787.15,Delayed
MIS000080,2025-03-06,B004,East,Equipment Transport,Medium,Fog,40,300,1163079.61,Completed
MIS000081,2025-04-13,B003,East,Supply Delivery,High,Clear,6,233,3067621.53,Completed
MIS000082,2025-06-30,B024,East,Supply Delivery,Medium,Storm,50,107,549337.3,Delayed
MIS000083,2025-05-26,B004,East,Reconnaissance,Low,Fog,13,84,1441686.27,Completed
MIS000084,2025-02-14,B018,East,Reconnaissance,Low,Rain,29,305,3122923.38,Completed
MIS000085,2026-09-16,B014,Central,Training Exercise,High,Storm,55,213,3040612.01,Delayed
MIS000086,2025-02-05,B001,Central,Border Patrol,Low,Rain,29,126,3393800.55,Completed
MIS000087,2025-09-06,B002,North,Supply Delivery,Medium,Snow,66,54,2816837.28,Completed
MIS000088,2025-02-09,B008,East,Surveillance,Low,Storm,24,351,4528035.82,Completed
MIS000089,2025-02-19,B005,East,Supply Delivery,Medium,Snow,35,235,395062.77,Completed
MIS000090,2026-06-22,B027,West,Disaster Relief,Medium,Fog,16,128,4873441.51,Completed
MIS000091,2025-05-18,B026,South,Disaster Relief,High,Fog,33,110,1872896.21,Completed
MIS000092,2026-12-09,B014,Central,Supply Delivery,High,Fog,9,348,4540484.26,Completed
MIS000093,2025-06-17,B005,East,Surveillance,Medium,Snow,58,135,3110719.87,Delayed
MIS000094,2025-02-10,B028,West,Equipment Transport,High,Clear,18,218,4937110.5,Completed
MIS000095,2026-10-21,B015,South,Reconnaissance,High,Clear,4,338,4924138.35,Completed
MIS000096,2025-06-24,B017,East,Surveillance,Medium,Fog,37,369,1344285.89,Completed
MIS000097,2025-04-04,B023,North,Surveillance,Medium,Rain,30,116,2791275.45,Delayed
MIS000098,2025-02-02,B008,East,Disaster Relief,Medium,Storm,53,232,4487351.95,Completed
MIS000099,2025-03-04,B005,East,Surveillance,Medium,Clear,34,145,4204763.5,Completed
MIS000100,2026-03-27,B021,South,Border Patrol,High,Storm,15,323,2806022.89,Cancelled
MIS000101,2026-07-27,B004,East,Supply Delivery,Critical,Storm,16,93,2691307.06,Completed
MIS000102,2025-01-05,B003,East,Supply Delivery,Medium,Clear,60,356,1666818.06,Completed
MIS000103,2025-03-15,B016,West,Border Patrol,High,Storm,30,290,2880404.56,Completed
MIS000104,2025-07-15,B018,East,Equipment Transport,Low,Clear,23,147,4132644.03,Completed
MIS000105,2025-08-19,B024,East,Supply Delivery,High,Storm,11,38,2570445.39,Delayed
MIS000106,2026-02-04,B013,South,Border Patrol,High,Snow,9,105,1371932.75,Completed
MIS000107,2025-07-11,B018,East,Reconnaissance,High,Rain,39,271,693586.42,Completed
MIS000108,2025-04-08,B018,East,Equipment Transport,Medium,Rain,72,231,4083587.7,Delayed
MIS000109,2025-04-04,B023,North,Medical Support,High,Rain,66,282,725570.01,Completed
MIS000110,2026-05-12,B014,Central,Surveillance,High,Snow,28,218,2736926.48,Delayed
MIS000111,2026-12-06,B015,South,Supply Delivery,Low,Snow,66,368,2288039.97,Cancelled
MIS000112,2026-06-04,B016,West,Surveillance,Medium,Rain,53,365,4828653.97,Completed
MIS000113,2026-08-06,B019,Central,Training Exercise,High,Storm,60,390,2428302.38,Completed
MIS000114,2025-06-26,B014,Central,Disaster Relief,Medium,Storm,52,212,1901836.58,Completed
MIS000115,2025-09-19,B020,East,Border Patrol,Medium,Snow,46,241,164554.99,Completed
MIS000116,2026-12-23,B005,East,Supply Delivery,Medium,Snow,44,95,2979807.06,Delayed
MIS000117,2025-05-14,B004,East,Training Exercise,Critical,Clear,33,381,4728089.85,Cancelled
MIS000118,2025-09-05,B023,North,Reconnaissance,Low,Rain,52,103,2314140.66,Completed
MIS000119,2026-05-29,B019,Central,Training Exercise,Medium,Snow,33,287,3690877.06,Completed
MIS000120,2025-02-09,B009,South,Disaster Relief,High,Storm,5,264,3809405.88,Completed
MIS000121,2025-12-08,B014,Central,Reconnaissance,Medium,Fog,42,235,4780362.72,Completed
MIS000122,2025-01-17,B020,East,Disaster Relief,Medium,Rain,61,384,759329.83,Delayed
MIS000123,2026-10-21,B020,East,Reconnaissance,Medium,Fog,52,87,338669.15,Completed
MIS000124,2026-02-16,B017,East,Reconnaissance,Critical,Rain,63,114,4453994.85,Completed
MIS000125,2026-06-02,B023,North,Border Patrol,Medium,Snow,48,237,3493783.18,Completed
MIS000126,2026-03-24,B005,East,Equipment Transport,High,Storm,36,187,4905578.73,Completed
MIS000127,2025-04-06,B009,South,Disaster Relief,Medium,Clear,28,134,2837210.12,Completed
MIS000128,2025-09-04,B017,East,Surveillance,High,Clear,16,205,4540162.52,Completed
MIS000129,2026-06-21,B005,East,Supply Delivery,Medium,Clear,11,302,3207740.62,Completed
